gender,age,senior_citizen,num_dependents,zip_code,tenure_months,num_referrals,total_monthly_fee,total_charges_quarter,contract_type,churn_label
1,54,0,6,93603,27,5,54.75,1510.3,Month-to-Month,0
0,57,0,0,93648,35,0,60.55,1982.6,Month-to-Month,0
1,56,0,0,91744,1,0,95.45,95.45,Month-to-Month,1
1,35,0,2,95916,52,1,50.2,2554.0,Two Year,0
0,61,0,3,95439,72,8,63.8,4684.3,Two Year,0
0,54,0,1,90248,11,0,36.05,402.6,One Year,0
1,80,1,0,92126,71,0,105.75,7382.85,One Year,0
0,23,0,0,92703,11,0,40.4,422.6,One Year,0
0,29,0,0,91784,6,0,55.15,322.9,Month-to-Month,0
0,25,0,2,95401,3,9,58.7,168.6,Month-to-Month,0
1,44,0,0,95546,8,0,94.7,740.3,Month-to-Month,1
0,43,0,0,95527,1,0,70.1,70.1,Month-to-Month,1
0,41,0,0,92123,55,0,66.05,3462.1,One Year,0
1,43,0,0,93453,72,0,61.2,4390.25,Two Year,0
0,38,0,0,91403,68,0,64.35,4539.6,Two Year,0
1,46,0,0,95686,36,0,84.9,3067.2,Month-to-Month,1
1,42,0,0,95932,2,0,19.35,46.35,Month-to-Month,0
0,63,0,0,93534,1,0,50.15,50.15,Month-to-Month,0
1,21,0,0,94949,23,0,90.6,1943.2,Month-to-Month,1
0,20,0,0,95385,3,0,85.8,272.2,Month-to-Month,1
0,61,0,1,90210,46,9,19.4,967.85,Two Year,0
1,28,0,3,92025,70,0,25.15,1790.15,Two Year,0
1,70,1,0,93665,59,0,93.85,5574.75,Month-to-Month,1
1,22,0,3,95118,72,4,105.55,7542.25,Two Year,0
1,21,0,2,90631,3,0,74.4,229.55,Month-to-Month,1
1,59,0,0,94114,60,1,95.75,5742.9,Month-to-Month,1
1,20,0,0,92332,55,0,59.2,3175.85,Two Year,0
0,58,0,0,95030,1,0,44.4,44.4,Month-to-Month,1
0,23,0,0,93722,15,7,20.55,295.95,One Year,0
1,29,0,0,90706,25,0,19.5,516.3,One Year,0
1,56,0,0,95370,22,9,87.0,1850.65,Month-to-Month,0
1,47,0,0,96113,62,1,60.15,3753.2,Two Year,0
0,64,0,0,93501,44,0,50.15,2139.1,Month-to-Month,0
1,44,0,0,94922,48,4,20.05,1036.0,Two Year,0
0,79,1,0,95316,54,2,115.6,6431.05,One Year,0
0,58,0,0,95511,13,0,35.4,450.4,Two Year,0
1,19,0,0,92843,63,1,83.5,5435.0,Two Year,0
1,23,0,0,92026,10,0,56.75,503.25,Month-to-Month,0
1,34,0,0,95662,41,1,73.0,3001.2,One Year,1
0,74,1,0,95947,45,0,102.15,4735.35,One Year,0
1,43,0,0,95437,32,0,64.85,2010.95,One Year,0
1,52,0,2,92254,65,4,24.75,1715.1,Two Year,0
1,37,0,1,90504,55,0,96.75,5238.9,Month-to-Month,1
0,39,0,0,95401,1,0,79.7,79.7,Month-to-Month,1
0,72,1,0,95637,27,0,88.3,2467.75,Month-to-Month,1
0,32,0,3,91941,57,9,20.1,1087.7,Two Year,0
0,21,0,0,95818,5,0,54.2,308.25,Month-to-Month,1
1,36,0,0,90201,72,7,42.1,2962.0,Two Year,0
1,37,0,2,91702,66,0,65.7,4378.9,Two Year,0
0,34,0,0,95242,72,9,109.55,8165.1,Two Year,0
0,27,0,0,95585,28,3,20.5,563.05,Month-to-Month,0
0,59,0,0,95325,2,6,62.15,113.1,Month-to-Month,0
1,64,0,0,92274,13,0,73.35,931.55,Month-to-Month,0
1,26,0,0,94549,58,0,70.1,4048.95,Two Year,0
0,43,0,0,90210,18,2,54.4,957.1,One Year,0
1,39,0,1,94502,71,9,23.9,1626.4,Two Year,0
1,26,0,0,94510,63,0,104.5,6590.8,One Year,0
0,38,0,0,96007,9,0,80.55,653.9,Month-to-Month,0
0,21,0,1,92503,41,7,101.6,3930.55,One Year,0
0,43,0,0,93304,38,0,20.3,743.05,Two Year,0
0,19,0,0,95983,25,0,78.35,1837.9,Month-to-Month,0
1,41,0,0,96027,40,8,80.0,3168.75,Month-to-Month,0
0,48,0,0,95988,8,0,49.85,365.55,Month-to-Month,1
1,35,0,3,95655,13,1,19.85,252.0,Month-to-Month,0
1,21,0,1,94930,64,0,91.8,5960.5,Month-to-Month,0
0,32,0,0,95547,62,1,100.15,6283.3,Month-to-Month,1
0,51,0,0,95444,20,0,69.8,1540.35,Month-to-Month,0
1,33,0,0,92066,45,3,78.75,3600.65,One Year,0
1,62,0,0,95670,49,0,75.2,3678.3,Month-to-Month,1
1,60,0,0,93280,28,0,74.9,2068.55,Month-to-Month,1
1,41,0,1,96069,4,1,18.85,84.2,Month-to-Month,0
0,54,0,0,92618,63,1,81.55,5029.05,Month-to-Month,0
0,41,0,0,91602,10,0,29.6,299.05,Two Year,0
1,28,0,0,91321,10,0,45.55,402.6,Month-to-Month,1
1,50,0,0,95247,65,0,93.55,6069.25,One Year,0
0,77,1,0,92122,21,0,41.9,840.1,Month-to-Month,1
0,40,0,1,95536,29,5,20.2,558.8,Two Year,0
1,40,0,0,95693,13,5,84.05,1095.3,Month-to-Month,1
0,28,0,0,92282,67,0,102.95,6886.25,Month-to-Month,1
0,71,1,0,92536,18,0,73.55,1359.45,Two Year,0
1,32,0,0,95002,7,0,98.05,713.0,Month-to-Month,1
0,35,0,0,91739,48,1,60.6,2985.25,One Year,0
1,21,0,0,95462,72,7,99.4,7285.7,Two Year,0
1,47,0,0,91709,71,0,97.65,6687.85,One Year,0
0,41,0,0,90065,1,0,54.65,54.65,Month-to-Month,0
1,20,0,0,93308,63,0,71.9,4479.2,Two Year,0
0,33,0,0,94065,53,0,105.55,5682.25,Two Year,0
1,64,0,1,91343,23,0,54.15,1312.45,Month-to-Month,0
1,19,0,0,90023,4,0,85.65,338.9,Month-to-Month,1
1,45,0,0,93105,9,0,68.25,576.95,Month-to-Month,0
0,52,0,0,92860,12,0,61.65,713.75,Month-to-Month,1
0,45,0,0,94019,7,0,100.4,715.0,Month-to-Month,0
1,35,0,0,92398,9,0,79.9,741.7,Month-to-Month,1
1,53,0,0,94062,30,0,94.3,2679.7,Month-to-Month,0
1,44,0,1,91722,3,0,70.7,225.65,Month-to-Month,0
1,22,0,0,93631,2,0,25.05,56.35,Month-to-Month,1
0,68,1,0,90621,13,5,45.3,528.45,Month-to-Month,0
1,43,0,0,92805,9,0,34.7,296.1,Month-to-Month,1
1,26,0,0,95360,62,6,23.75,1446.8,One Year,0
1,22,0,1,93962,72,0,19.9,1529.65,Two Year,0
0,27,0,0,90026,4,0,80.15,319.85,Month-to-Month,0
0,49,0,1,92610,11,0,25.2,321.05,Month-to-Month,0
0,59,0,1,92211,43,9,24.45,993.15,One Year,0
0,54,0,0,95037,42,9,99.0,4135.0,Two Year,0
1,48,0,3,94549,17,1,66.7,1077.05,Month-to-Month,0
0,31,0,0,92691,66,9,89.9,5958.85,Two Year,0
0,63,0,0,90036,7,0,75.35,564.65,Month-to-Month,0
1,44,0,2,92258,62,0,20.0,1250.1,Two Year,0
0,32,0,3,94132,68,6,103.75,7039.45,Two Year,0
0,26,0,1,91001,20,5,82.4,1592.35,Month-to-Month,1
1,36,0,0,95250,13,1,102.25,1359.0,Month-to-Month,1
0,20,0,0,92126,54,0,103.95,5639.05,One Year,1
0,43,0,0,90048,11,1,99.5,1056.95,Month-to-Month,1
1,21,0,0,96031,34,8,100.85,3527.3,Month-to-Month,0
1,38,0,0,95650,38,0,20.1,730.1,One Year,0
1,29,0,1,96001,69,2,20.2,1376.5,Two Year,0
0,33,0,2,90036,7,0,29.8,201.95,Month-to-Month,0
1,53,0,0,95423,61,1,80.8,4860.85,Two Year,0
0,70,1,0,95018,60,6,89.45,5294.6,Two Year,0
1,42,0,3,95701,1,0,19.55,19.55,Month-to-Month,0
1,23,0,0,95129,7,0,74.65,544.55,Month-to-Month,1
1,78,1,0,96055,4,3,29.9,118.25,Two Year,0
0,22,0,0,92227,13,0,80.5,1011.8,Month-to-Month,0
1,35,0,3,95670,49,0,109.2,5290.45,One Year,0
0,37,0,1,95325,11,8,20.0,196.35,One Year,0
0,34,0,0,91301,3,0,29.2,98.5,Month-to-Month,0
1,30,0,0,92122,69,2,99.45,7007.6,Month-to-Month,1
0,50,0,0,95257,3,0,54.2,140.4,Month-to-Month,0
1,46,0,0,90260,1,0,19.05,19.05,Month-to-Month,0
0,63,0,0,94508,56,1,90.55,5116.6,Month-to-Month,0
0,29,0,0,91207,1,4,24.8,24.8,Month-to-Month,1
0,63,0,0,92101,38,0,89.1,3342.0,One Year,0
0,35,0,3,95669,72,3,80.45,5886.85,Two Year,0
0,57,0,3,93703,68,8,78.45,5333.35,One Year,0
0,59,0,0,93711,12,1,19.8,229.6,One Year,1
0,25,0,0,95830,71,0,113.15,7993.3,Two Year,0
1,19,0,0,94544,56,1,25.15,1327.15,Two Year,1
0,21,0,2,94305,44,1,19.6,780.25,Month-to-Month,0
0,63,0,1,91602,72,1,108.65,7726.35,Two Year,0
0,36,0,2,92024,56,5,109.6,5953.0,Month-to-Month,0
1,49,0,0,92121,1,0,69.9,69.9,Month-to-Month,1
1,56,0,3,90604,69,2,92.15,6480.9,Two Year,0
1,47,0,1,94541,25,0,19.9,505.45,One Year,0
1,69,1,0,91770,16,1,98.75,1587.55,Month-to-Month,1
0,75,1,0,91301,3,7,30.75,82.85,Month-to-Month,0
1,35,0,0,92305,1,0,69.75,69.75,Month-to-Month,1
0,27,0,0,90623,56,1,99.8,5515.45,One Year,0
0,33,0,1,96033,18,2,25.1,428.45,Two Year,0
0,78,1,0,95258,47,0,95.05,4504.55,Month-to-Month,1
0,58,0,0,92692,68,8,54.4,3723.65,One Year,0
0,62,0,3,94709,1,9,20.35,20.35,Two Year,0
1,52,0,2,93261,28,2,64.4,1802.15,Month-to-Month,0
0,46,0,0,95008,63,0,108.25,6780.1,Month-to-Month,0
1,43,0,2,92582,54,0,55.0,3092.65,Month-to-Month,1
1,36,0,0,90032,69,7,53.65,3804.4,One Year,0
0,78,1,0,90040,49,0,43.8,2106.05,Two Year,0
0,38,0,0,93552,18,0,20.1,407.05,One Year,0
1,32,0,0,93725,27,1,53.8,1389.85,Month-to-Month,0
1,33,0,0,95251,57,0,53.35,3090.05,Two Year,0
0,39,0,0,95006,2,0,85.7,169.8,Month-to-Month,1
0,35,0,3,95962,60,1,94.15,5811.8,One Year,0
1,62,0,0,92707,33,0,39.1,1309.0,One Year,0
1,61,0,2,92384,41,4,74.55,3023.55,Month-to-Month,0
1,20,0,0,90010,47,1,25.4,1139.2,Month-to-Month,0
1,35,0,2,95968,53,1,64.15,3491.55,One Year,0
1,33,0,0,95050,3,0,19.45,69.25,One Year,0
0,26,0,0,96039,38,0,83.9,3233.6,Month-to-Month,1
1,54,0,0,93660,3,0,86.05,244.85,Month-to-Month,0
1,30,0,0,92251,45,0,108.45,4964.7,Month-to-Month,0
1,51,0,3,93451,25,4,75.5,1901.05,Month-to-Month,0
0,48,0,0,92805,12,1,19.0,233.55,Month-to-Month,1
1,61,0,1,90274,40,2,20.4,745.3,Month-to-Month,0
1,55,0,1,96136,20,4,20.05,400.0,Two Year,0
1,37,0,0,90007,50,0,105.95,5341.8,Month-to-Month,1
1,63,0,0,92127,1,0,20.1,20.1,Month-to-Month,1
1,31,0,0,90740,52,0,19.65,1025.05,Two Year,0
0,70,1,0,94037,27,0,110.5,2857.6,One Year,0
1,40,0,0,95329,55,0,96.8,5283.95,Month-to-Month,1
0,24,0,1,92122,30,1,19.7,599.25,Two Year,0
1,48,0,3,90631,15,1,19.65,332.65,One Year,0
1,80,1,1,92610,68,0,107.15,7379.8,One Year,0
1,62,0,3,91605,29,6,55.35,1636.95,One Year,0
1,24,0,0,92374,9,2,70.05,564.4,Month-to-Month,0
1,21,0,0,95054,24,0,89.55,2187.15,Month-to-Month,0
1,75,1,0,90301,52,0,110.75,5832.0,Two Year,0
1,24,0,1,92384,55,5,55.25,3119.9,Two Year,0
1,61,0,0,91331,9,0,24.95,190.25,Month-to-Month,0
1,63,0,0,92880,61,1,94.15,5731.85,Month-to-Month,0
0,68,1,0,90280,54,1,99.1,5437.1,One Year,0
1,45,0,1,94933,23,2,30.35,678.75,Month-to-Month,0
1,71,1,0,93610,40,8,55.8,2283.3,One Year,0
0,32,0,0,95417,9,0,20.45,147.55,Month-to-Month,0
0,21,0,3,92154,20,7,76.0,1588.75,One Year,0
1,44,0,3,90067,43,5,29.3,1224.05,Month-to-Month,0
1,47,0,0,95112,7,0,35.3,264.8,One Year,0
1,35,0,0,92867,11,0,69.35,712.25,Month-to-Month,0
0,68,1,0,93664,1,0,89.3,89.3,Month-to-Month,1
1,75,1,0,93634,30,6,105.7,3181.8,Month-to-Month,0
1,54,0,0,95816,52,0,109.3,5731.4,Two Year,0
0,42,0,0,90035,26,10,19.2,459.6,One Year,0
1,48,0,0,93263,1,1,80.0,80.0,Month-to-Month,1
0,33,0,0,93626,10,0,98.5,1058.25,Month-to-Month,1
1,61,0,0,92347,1,0,75.1,75.1,Month-to-Month,0
0,39,0,3,93608,1,0,49.9,49.9,Month-to-Month,0
1,69,1,1,95130,64,9,24.4,1548.65,Two Year,0
1,55,0,1,94803,36,0,94.7,3512.5,Month-to-Month,0
1,75,1,0,92359,72,5,116.05,8404.9,Two Year,0
1,52,0,0,95548,28,0,94.5,2659.4,Month-to-Month,1
0,51,0,3,95464,10,1,20.15,220.8,Two Year,0
1,34,0,0,91931,2,0,45.85,81.0,Month-to-Month,1
1,21,0,1,94561,45,9,73.85,3371.0,Two Year,0
0,36,0,0,90037,12,0,89.4,1095.65,Month-to-Month,1
1,23,0,0,94928,33,6,44.55,1462.6,Month-to-Month,0
0,19,0,0,95686,24,0,25.15,553.0,Two Year,0
0,53,0,0,95662,32,1,84.15,2585.95,Month-to-Month,1
0,31,0,1,91916,55,4,20.0,1087.25,Month-to-Month,0
0,79,1,0,92078,13,0,82.0,1127.2,Month-to-Month,1
0,21,0,0,96073,4,0,84.05,333.55,Month-to-Month,1
1,39,0,0,90710,68,4,92.2,6392.85,Two Year,0
1,20,0,0,95722,12,0,99.95,1132.75,Month-to-Month,1
1,26,0,3,93960,57,1,97.55,5598.0,One Year,0
0,64,0,0,95247,4,0,55.2,220.65,Month-to-Month,0
1,26,0,0,92129,3,0,45.35,141.5,Month-to-Month,1
1,76,1,0,90804,51,7,93.65,4839.15,One Year,0
1,37,0,2,95717,60,1,23.95,1506.4,One Year,0
1,27,0,3,95436,62,1,81.45,4983.05,One Year,0
0,47,0,0,95974,12,0,45.0,524.35,Month-to-Month,0
0,42,0,0,90602,4,0,75.35,338.1,Month-to-Month,1
0,30,0,0,95367,2,0,75.9,143.35,Month-to-Month,1
0,54,0,0,95823,36,4,106.05,3834.4,Two Year,0
0,44,0,0,95917,1,0,19.55,19.55,Month-to-Month,0
0,40,0,0,94946,10,0,84.7,832.05,Month-to-Month,1
1,80,1,0,94501,71,3,25.45,1789.65,Two Year,0
1,72,1,0,91607,4,0,50.95,207.35,Two Year,0
0,45,0,0,90290,68,10,91.7,6424.7,Two Year,0
0,40,0,0,95973,63,0,109.85,7002.95,Month-to-Month,0
0,27,0,0,90805,70,4,108.15,7930.55,One Year,0
1,45,0,0,90023,12,10,19.8,202.25,One Year,0
1,55,0,0,93432,42,0,19.8,849.9,One Year,0
0,53,0,0,92506,71,6,95.65,6856.95,One Year,0
0,33,0,3,94134,47,10,19.75,948.9,Two Year,0
1,21,0,1,92701,45,1,54.65,2553.7,Two Year,0
1,53,0,0,93644,1,0,35.25,35.25,Month-to-Month,1
1,39,0,0,93932,60,6,59.8,3561.15,One Year,0
1,26,0,0,93001,39,0,19.9,791.15,One Year,0
1,37,0,2,91773,2,5,20.3,40.25,Month-to-Month,0
1,24,0,1,92649,35,4,20.05,746.75,One Year,0
0,77,1,0,96048,18,0,20.35,369.6,One Year,0
0,80,1,0,95110,17,0,89.15,1496.9,Month-to-Month,1
0,22,0,0,93212,1,0,48.6,48.6,Month-to-Month,1
0,59,0,0,90402,12,0,54.3,654.5,Month-to-Month,0
1,31,0,1,95113,30,4,67.6,2000.2,Month-to-Month,0
0,63,0,0,92354,5,0,25.45,134.75,Month-to-Month,0
0,59,0,3,95555,72,4,24.05,1709.15,Two Year,0
1,50,0,0,92408,45,0,107.75,4882.8,Month-to-Month,0
1,23,0,0,94545,20,0,68.7,1416.2,One Year,0
0,71,1,1,91766,22,7,85.35,1961.6,Two Year,0
0,19,0,0,90242,7,7,50.3,355.1,Month-to-Month,0
0,43,0,0,94087,8,0,60.0,487.75,Month-to-Month,0
1,38,0,0,95564,1,1,70.0,70.0,Month-to-Month,1
0,65,1,0,94619,4,0,20.05,91.45,Two Year,0
0,48,0,0,95521,36,0,75.55,2680.15,One Year,0
1,31,0,0,94972,21,0,20.5,402.85,Month-to-Month,0
1,35,0,0,90056,11,1,74.35,834.2,Month-to-Month,1
0,47,0,0,95817,58,0,79.8,4526.85,Month-to-Month,0
0,21,0,0,90703,11,0,54.6,617.85,One Year,0
0,44,0,1,95330,64,3,90.6,5817.45,Two Year,0
0,31,0,2,95468,39,1,24.2,914.6,One Year,0
1,55,0,0,92130,48,0,106.1,5082.8,One Year,1
0,42,0,0,93953,1,0,19.5,19.5,Month-to-Month,0
0,56,0,0,94920,16,0,19.3,360.35,One Year,0
1,47,0,0,95667,1,0,61.15,61.15,Month-to-Month,0
1,79,1,0,95459,33,6,100.6,3270.25,Month-to-Month,0
1,43,0,0,92107,56,1,89.7,4952.95,Month-to-Month,0
0,43,0,0,95666,68,0,110.25,7279.35,Two Year,0
0,57,0,0,91754,45,1,113.3,5032.25,One Year,0
1,59,0,0,91786,20,0,19.7,415.9,One Year,0
0,38,0,0,95672,35,0,23.3,797.1,Two Year,0
1,73,1,0,95635,18,0,58.4,964.9,Two Year,0
0,45,0,0,92069,9,0,19.05,157.65,Month-to-Month,0
0,51,0,0,90732,58,0,107.75,6332.75,One Year,0
0,51,0,1,90630,68,10,19.35,1292.65,Two Year,0
0,27,0,0,95338,1,0,84.3,84.3,Month-to-Month,1
0,45,0,0,92508,46,0,101.1,4674.4,One Year,0
0,55,0,0,95571,8,0,20.0,141.6,Two Year,0
1,35,0,0,93223,63,4,102.6,6296.75,Two Year,0
0,54,0,0,95425,7,0,79.3,523.15,Month-to-Month,1
1,25,0,0,95226,38,1,94.65,3624.3,Month-to-Month,1
1,63,0,0,92584,4,0,86.05,308.1,Month-to-Month,0
1,24,0,0,93621,31,0,81.7,2548.65,One Year,0
0,56,0,0,95374,49,3,100.85,4847.35,Month-to-Month,0
1,61,0,0,92683,1,10,55.7,55.7,Month-to-Month,0
0,32,0,0,92881,60,0,80.55,4847.05,One Year,0
0,71,1,0,96011,3,0,70.4,204.7,Month-to-Month,1
0,75,1,0,92281,55,5,51.65,2838.55,One Year,0
0,77,1,2,91107,7,0,76.45,503.6,Month-to-Month,1
1,47,0,0,95818,68,5,25.25,1728.2,Two Year,0
1,80,1,0,94025,7,2,75.4,533.05,Month-to-Month,0
1,54,0,0,94806,2,0,74.95,151.75,Month-to-Month,0
1,25,0,0,92109,29,1,89.2,2698.35,Month-to-Month,1
0,60,0,0,93262,22,1,54.7,1178.75,Month-to-Month,0
0,63,0,0,92064,68,0,88.15,6148.45,Two Year,0
0,70,1,0,94569,31,0,73.9,2217.15,Month-to-Month,1
1,49,0,0,90025,25,7,55.55,1405.3,Month-to-Month,0
1,52,0,0,95423,25,0,70.95,1767.35,Month-to-Month,1
0,70,1,0,92066,50,1,108.75,5431.9,Month-to-Month,0
1,47,0,0,90732,43,0,35.2,1463.7,One Year,0
0,21,0,3,94402,22,1,61.15,1422.05,Month-to-Month,1
0,55,0,0,92333,37,1,99.2,3754.6,One Year,1
1,20,0,0,94515,13,1,75.3,989.45,One Year,1
0,20,0,0,94541,72,8,92.4,6786.1,Two Year,0
0,69,1,0,95113,71,0,89.85,6293.45,Two Year,0
0,46,0,0,90710,12,0,96.0,1062.1,Month-to-Month,1
1,47,0,3,95442,68,4,19.95,1303.25,Two Year,0
0,37,0,0,93531,15,0,85.9,1269.55,Month-to-Month,1
1,74,1,0,90018,18,6,59.1,1011.05,Two Year,0
0,66,1,0,95568,37,8,90.0,3371.75,Two Year,0
1,62,0,0,93666,56,0,98.6,5581.05,Month-to-Month,0
0,22,0,0,91754,21,0,99.15,1956.4,Month-to-Month,0
0,30,0,2,92304,72,4,103.2,7362.9,One Year,0
0,56,0,0,91791,51,4,60.5,3145.15,One Year,0
1,29,0,0,92064,33,0,80.1,2603.3,One Year,0
1,20,0,0,90501,20,0,19.4,415.4,Month-to-Month,0
1,22,0,3,95428,9,9,90.35,767.9,One Year,0
1,45,0,1,90630,68,4,72.95,4953.25,Two Year,0
1,46,0,2,95138,51,7,24.95,1222.25,Two Year,0
0,77,1,0,91344,57,1,94.0,5438.95,Month-to-Month,0
0,63,0,0,92129,3,0,75.1,270.7,Month-to-Month,1
0,46,0,0,92243,32,0,19.75,624.15,One Year,0
1,69,1,0,95329,60,5,99.0,6017.9,Two Year,0
0,76,1,0,96040,48,9,117.45,5438.9,Month-to-Month,1
1,62,0,0,93001,72,5,82.15,5784.3,Two Year,0
0,38,0,0,93271,20,0,19.5,403.15,One Year,0
1,51,0,0,95035,67,8,111.05,7321.05,Two Year,0
0,63,0,0,93257,48,0,24.55,1203.95,One Year,0
0,20,0,0,94949,3,0,74.55,233.65,Month-to-Month,0
0,44,0,0,93543,32,0,104.05,3416.85,One Year,0
1,36,0,3,95445,51,6,84.2,4299.75,One Year,0
1,35,0,0,91403,16,0,19.7,342.4,Month-to-Month,1
0,54,0,0,94930,35,0,24.15,812.5,Month-to-Month,0
0,52,0,2,95912,58,10,20.5,1191.4,Two Year,0
1,48,0,0,95982,65,4,104.25,6812.95,Month-to-Month,0
0,45,0,0,96113,46,6,70.6,3231.05,One Year,0
1,22,0,0,92126,36,0,84.75,3050.15,Month-to-Month,1
0,28,0,0,91342,70,0,113.65,7939.25,Two Year,0
1,46,0,0,95014,11,0,20.25,208.0,Month-to-Month,0
1,54,0,0,92025,58,0,99.15,5720.95,One Year,0
1,67,1,0,94901,8,2,80.45,583.45,Month-to-Month,1
0,37,0,3,92804,55,1,85.1,4657.95,Two Year,0
1,42,0,2,95776,2,0,20.4,42.9,Month-to-Month,0
1,74,1,0,94109,44,4,19.35,847.25,Two Year,0
1,24,0,0,94040,10,0,19.75,208.25,Month-to-Month,0
1,52,0,0,96003,72,0,19.85,1434.1,Two Year,0
1,79,1,0,96121,38,7,102.6,4009.2,Two Year,0
0,79,1,0,90712,6,0,98.25,560.6,Month-to-Month,1
1,19,0,0,95207,18,5,56.8,1074.65,Month-to-Month,0
0,70,1,0,90303,72,9,25.7,1937.4,Two Year,0
1,36,0,0,92562,30,0,95.0,2852.4,Month-to-Month,0
1,40,0,2,91364,4,1,44.8,169.65,Month-to-Month,0
1,41,0,0,92804,10,0,70.0,740.0,Month-to-Month,1
1,44,0,0,95045,4,0,44.55,174.3,Month-to-Month,1
0,52,0,1,92253,4,0,20.4,84.75,One Year,0
1,66,1,0,91360,23,1,86.8,1975.85,One Year,0
1,46,0,0,90502,50,4,54.9,2614.1,One Year,0
1,60,0,0,92629,1,0,79.5,79.5,Month-to-Month,1
0,77,1,0,90230,2,0,75.45,158.4,Month-to-Month,1
0,23,0,3,95005,10,4,20.0,200.0,Two Year,0
1,26,0,0,93458,70,9,101.0,7085.5,Two Year,0
1,36,0,0,92328,60,6,109.45,6572.85,Month-to-Month,0
0,55,0,0,95562,71,2,93.7,6585.35,Two Year,1
1,19,0,0,94585,72,1,20.7,1492.1,Two Year,0
0,33,0,2,91364,57,1,53.45,3053.0,One Year,0
1,48,0,0,92231,7,0,19.5,128.6,One Year,0
1,21,0,0,93306,1,0,24.05,24.05,Month-to-Month,1
1,43,0,0,95620,4,0,70.2,237.95,Month-to-Month,1
1,65,1,0,93451,48,1,91.05,4370.75,Two Year,0
0,30,0,0,95519,1,0,19.55,19.55,Month-to-Month,0
1,44,0,0,92823,13,0,19.3,259.65,One Year,0
1,20,0,0,95957,31,0,101.4,3143.65,Month-to-Month,0
1,47,0,0,90713,6,0,30.5,208.7,Month-to-Month,1
0,40,0,3,93238,68,3,111.75,7511.3,Two Year,0
0,68,1,0,96148,1,0,69.6,69.6,Month-to-Month,1
1,26,0,0,93647,4,4,48.55,201.0,Month-to-Month,1
0,26,0,2,94025,36,8,20.25,717.95,Two Year,0
1,22,0,0,92316,7,0,94.25,669.0,Month-to-Month,1
0,22,0,0,92663,1,0,19.9,19.9,Month-to-Month,0
1,50,0,0,96107,65,0,24.8,1600.95,One Year,0
1,32,0,0,95403,1,0,20.45,20.45,Month-to-Month,0
0,58,0,0,90810,48,3,100.05,4834.0,Month-to-Month,0
1,76,1,0,94945,31,5,89.45,2807.65,Two Year,0
1,49,0,0,90716,49,0,66.15,3199.0,Two Year,0
0,69,1,0,92129,30,0,91.7,2758.15,Month-to-Month,1
0,36,0,0,91730,25,1,89.1,2368.4,Month-to-Month,1
0,23,0,0,94547,1,0,25.75,25.75,Month-to-Month,0
1,19,0,0,90242,68,4,25.05,1629.2,Two Year,0
1,51,0,0,95439,34,0,105.35,3540.65,Month-to-Month,0
1,49,0,0,94618,1,0,20.75,20.75,Month-to-Month,0
0,30,0,0,93432,1,0,25.7,25.7,Month-to-Month,0
