customer_id,gender,age,senior_citizen,married,num_dependents,zip_code,city,latitutde,longitude,population,churn_status,churn_label,churn_category,churn_reason,account_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds
0082-LDZUE,Male,54,0,0,0,94515,Calistoga,38.629618,-122.593216,7384,,0.0,,,COZY-HIJAK,1,0,1,DSL,1,1,0,0,0,0,0,Month-to-Month,1,Credit Card,42.95,42.95,9,0,0,0,44.3,44.3,0.0
0082-OQIQY,Male,50,0,0,0,95230,Farmington,37.956963,-120.863055,596,0.0,0.0,,,GPAX-ILXLY,29,0,1,Fiber Optic,0,1,0,1,0,0,0,Month-to-Month,1,Bank Withdrawal,2.05,59.45,17,1,1,1,94.2,2607.6,0.0
0083-PIVIK,Male,25,0,0,0,96134,Tulelake,41.813521,-121.492666,2595,0.0,0.0,,,DUQI-CCNHE,64,0,1,DSL,0,1,1,1,1,1,1,One Year,0,Bank Withdrawal,5.49,351.36,69,1,0,0,81.25,5567.55,0.0
0093-XWZFY,Male,51,0,0,0,92241,Desert Hot Springs,33.832799,-116.250973,5529,1.0,1.0,Competitor,Competitor had better devices,FIWL-DSBUU,40,0,1,Fiber Optic,1,1,1,0,0,1,1,Month-to-Month,1,Credit Card,37.69,1507.6,15,1,1,1,104.5,4036.85,0.0
0100-DUVFC,Male,66,1,1,0,90744,Wilmington,33.782068,-118.262263,53323,0.0,0.0,,,BPMN-XICPJ,70,3,1,Fiber Optic,1,1,1,0,0,1,1,One Year,1,Bank Withdrawal,39.49,2764.3,28,1,1,0,104.8,7308.95,6.11
0107-WESLM,Male,32,0,0,0,95255,West Point,38.41935,-120.469545,2198,1.0,1.0,Attitude,Attitude of support person,BYZS-LTHWI,1,0,0,None,0,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,31.77,31.77,0,0,0,0,19.85,19.85,0.0
0111-KLBQG,Male,71,1,1,1,92256,Morongo Valley,34.097863,-116.594561,3499,0.0,0.0,,,BTUI-SBNBD,32,9,1,Fiber Optic,1,1,0,0,0,1,0,One Year,1,Mailed Check,31.86,1019.52,23,1,1,1,93.95,2861.45,0.0
0112-QWPNC,Male,61,0,1,0,93563,Valyermo,34.39583,-117.734568,413,1.0,1.0,Competitor,Competitor offered higher download speeds,ALYE-SMSWW,49,1,1,Cable,1,1,1,1,1,0,1,One Year,0,Bank Withdrawal,39.55,1937.95,10,1,1,1,84.35,4059.35,0.0
0122-OAHPZ,Female,29,0,0,0,92122,San Diego,32.85723,-117.209774,34902,1.0,1.0,Competitor,Competitor made better offer,EGZT-IEJXV,7,0,1,Fiber Optic,1,1,1,0,0,0,0,Month-to-Month,1,Bank Withdrawal,28.62,200.34,26,0,0,1,73.85,511.25,13.03
0130-SXOUN,Male,55,0,0,0,95443,Glenhaven,39.045246,-122.743181,175,0.0,0.0,,,DLFY-SXHWM,66,0,1,Fiber Optic,0,1,1,0,0,1,0,Month-to-Month,0,Credit Card,48.78,3219.48,8,0,1,1,89.4,5976.9,36.02
0137-UDEUO,Female,24,0,0,0,95204,Stockton,37.974498,-121.319568,30476,1.0,1.0,Price,Long distance charges,BOJD-CWTTH,3,0,0,None,0,1,0,0,0,0,0,Month-to-Month,0,Credit Card,25.75,77.25,0,0,0,0,19.85,63.75,0.0
0141-YEAYS,Female,77,1,0,0,92028,Fallbrook,33.362575,-117.299644,42239,0.0,0.0,,,EZAH-UMQJK,27,0,1,Fiber Optic,1,1,1,0,0,1,1,Two Year,1,Bank Withdrawal,2.97,80.19,4,0,0,0,86.45,2401.05,0.0
0178-SZBHO,Male,54,0,1,1,95379,Tuolumne,37.939768,-120.188002,3979,0.0,0.0,,,COSM-NRJIM,47,7,1,Fiber Optic,1,1,1,0,0,1,0,Month-to-Month,0,Bank Withdrawal,1.09,51.23,13,1,0,0,87.2,4017.45,0.0
0187-WZNAB,Female,56,0,1,2,93616,Del Rey,36.657462,-119.595293,1965,0.0,0.0,,,BPUM-JRBCR,27,6,1,Fiber Optic,1,1,0,0,1,0,0,Month-to-Month,0,Credit Card,46.66,1259.82,28,0,0,0,74.4,1972.35,0.0
0196-JTUQI,Female,59,0,0,0,95612,Clarksburg,38.384648,-121.578701,1417,0.0,0.0,,,AHDR-OUQUJ,9,0,1,Fiber Optic,1,1,1,0,0,0,0,Month-to-Month,1,Credit Card,9.27,83.43,28,0,0,0,75.2,633.85,0.0
0196-VULGZ,Female,78,1,1,0,92620,Irvine,33.716136,-117.752574,26419,1.0,,Other,Deceased,FQMD-JCIWF,6,1,1,Fiber Optic,1,1,1,0,0,0,0,Month-to-Month,1,Bank Withdrawal,28.71,172.26,17,0,1,0,84.35,474.9,0.0
0218-QNVAS,Male,22,0,1,1,92203,Indio,33.752938,-116.230055,2743,0.0,0.0,,,BHHC-KRKQR,71,1,1,Fiber Optic,1,1,1,0,0,1,0,One Year,0,Bank Withdrawal,28.34,2012.14,59,1,1,1,100.55,7113.75,16.99
0219-QAERP,Male,33,0,1,0,93033,Oxnard,34.156629,-119.117218,77791,0.0,0.0,,,FMEU-GBJOZ,30,2,0,None,0,1,0,0,0,0,0,One Year,0,Credit Card,9.81,294.3,0,0,0,0,19.8,576.65,0.0
0229-LFJAF,Male,53,0,0,0,93611,Clovis,36.917652,-119.593757,46858,0.0,0.0,,,EPKZ-MFTKX,72,0,1,DSL,1,1,1,1,1,1,1,Two Year,0,Bank Withdrawal,3.66,263.52,13,0,0,0,69.65,4908.25,0.0
0230-WEQUW,Male,38,0,1,0,91364,Woodland Hills,34.153733,-118.593408,25988,0.0,0.0,,,BPNI-BCSPD,66,1,1,DSL,1,0,0,1,1,1,1,Two Year,1,Bank Withdrawal,0.0,0.0,29,1,0,0,56.6,3789.2,0.0
0237-YFUTL,Female,62,0,1,0,92655,Midway City,33.744439,-117.98588,8660,0.0,0.0,,,EWTL-FJAWT,50,4,1,Fiber Optic,1,1,1,1,1,1,0,Month-to-Month,1,Bank Withdrawal,34.57,1728.5,13,1,1,1,109.65,5405.8,0.0
0239-OXEXL,Female,37,0,0,0,94619,Oakland,37.787186,-122.14633,24518,0.0,0.0,,,BFVJ-LKHRD,46,0,1,Fiber Optic,0,1,1,0,1,1,0,Month-to-Month,0,Credit Card,43.27,1990.42,21,0,0,0,84.25,3847.6,0.0
0244-LGNFY,Female,35,0,1,1,94960,San Anselmo,37.99272,-122.575026,16849,0.0,0.0,,,BVTA-MWIKK,72,4,1,DSL,1,1,1,1,1,1,1,Two Year,0,Bank Withdrawal,30.0,2160.0,19,1,1,1,92.65,6733.0,0.0
0254-FNMCI,Female,19,0,0,0,90241,Downey,33.940884,-118.128628,40152,0.0,0.0,,,ASKD-HPTRN,72,0,1,Fiber Optic,1,1,0,1,1,1,1,Two Year,1,Bank Withdrawal,41.91,3017.52,73,1,1,1,109.9,7624.2,0.0
0254-WWRKD,Female,44,0,1,3,95925,Challenge,39.461768,-121.195825,262,0.0,0.0,,,ENZE-ZWRWT,67,1,1,Cable,1,1,0,0,0,1,0,One Year,0,Credit Card,46.9,3142.3,28,0,0,0,50.55,3431.75,0.0
0268-QKIWO,Female,41,0,0,0,95664,Pilot Hill,38.803731,-121.043799,1173,1.0,1.0,Attitude,Attitude of support person,BTHX-GPBHH,3,0,0,None,0,1,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,24.63,73.89,0,0,0,0,19.75,58.85,0.0
0270-THENM,Male,62,0,1,2,91345,Mission Hills,34.266389,-118.459744,17112,0.0,0.0,,,BFWR-SBYVP,72,1,1,DSL,1,1,1,1,1,1,1,Two Year,0,Bank Withdrawal,28.37,2042.64,18,0,0,0,69.85,5102.35,25.24
0281-CNTZX,Male,56,0,1,0,94060,Pescadero,37.22565,-122.297533,2055,0.0,0.0,,,ACOG-YBIQX,63,2,0,None,0,1,0,0,0,0,0,Two Year,1,Bank Withdrawal,38.36,2416.68,0,0,0,0,19.95,1234.8,0.0
0285-INHLN,Male,54,0,1,6,93603,Badger,36.64545,-118.924982,273,0.0,0.0,,,CONV-ESGRR,27,5,1,DSL,1,1,0,0,1,1,0,Month-to-Month,1,Credit Card,36.19,977.13,53,0,0,0,54.75,1510.3,0.0
0289-IVARM,Female,57,0,0,0,93648,Parlier,36.622237,-119.521126,12587,0.0,0.0,,,DSAA-NEXTT,35,0,1,DSL,1,1,0,0,1,1,1,Month-to-Month,0,Bank Withdrawal,44.81,1568.35,20,0,0,0,60.55,1982.6,0.0
0295-PPHDO,Male,56,0,0,0,91744,La Puente,34.031441,-117.936436,84965,1.0,1.0,Competitor,Competitor had better devices,FKHL-YHUMS,1,0,1,Fiber Optic,1,1,1,0,0,0,0,Month-to-Month,1,Bank Withdrawal,5.59,5.59,2,1,1,1,95.45,95.45,0.0
0298-XACET,Male,35,0,1,2,95916,Berry Creek,39.657228,-121.37778,1279,0.0,0.0,,,AMNQ-VZXKW,52,1,1,DSL,1,0,0,1,0,1,1,Two Year,0,Credit Card,0.0,0.0,17,1,0,0,50.2,2554.0,27.01
0301-FIDRB,Female,61,0,1,3,95439,Fulton,38.493888,-122.777141,476,0.0,0.0,,,DJRL-HLIXM,72,8,1,DSL,1,0,0,1,1,1,1,Two Year,1,Bank Withdrawal,0.0,0.0,22,1,1,1,63.8,4684.3,0.0
0305-SQECB,Female,54,0,0,1,90248,Gardena,33.876482,-118.284077,9960,0.0,0.0,,,DZYM-PSAXC,11,0,1,DSL,0,0,0,1,1,0,0,One Year,1,Credit Card,0.0,0.0,17,0,0,0,36.05,402.6,0.0
0308-GIQJT,Male,80,1,0,0,92126,San Diego,32.886925,-117.152162,74232,0.0,0.0,,,FYNO-DIHWI,71,0,1,Fiber Optic,1,1,1,1,0,1,0,One Year,0,Bank Withdrawal,6.1,433.1,9,1,1,0,105.75,7382.85,0.0
0308-IVGOK,Female,23,0,0,0,92703,Santa Ana,33.748635,-117.906125,70011,0.0,0.0,,,CXKH-MVKVG,11,0,1,DSL,1,0,0,1,0,1,1,One Year,1,Credit Card,0.0,0.0,59,0,0,0,40.4,422.6,0.0
0314-TKOSI,Female,29,0,0,0,91784,Upland,34.141146,-117.655583,23331,0.0,0.0,,,DGOT-FZWZP,6,0,1,Cable,0,1,0,0,1,1,0,Month-to-Month,0,Mailed Check,6.98,41.88,30,0,0,0,55.15,322.9,0.0
0319-QZTCO,Female,25,0,1,2,95401,Santa Rosa,38.460517,-122.790335,36125,,0.0,,,DEDZ-KMJAN,3,9,1,DSL,1,1,0,0,0,1,0,Month-to-Month,1,Credit Card,11.47,34.41,51,1,0,0,58.7,168.6,0.0
0325-XBFAC,Male,44,0,0,0,95546,Hoopa,41.163637,-123.704841,3041,1.0,1.0,Competitor,Competitor offered more data,GHOE-KQFPN,8,0,1,Fiber Optic,0,1,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,19.49,155.92,10,1,1,1,94.7,740.3,0.0
0328-GRPMV,Female,43,0,0,0,95527,Burnt Ranch,40.854512,-123.450097,485,1.0,1.0,Competitor,Competitor had better devices,BSFO-TTIGZ,1,0,1,Fiber Optic,1,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,17.37,17.37,25,0,0,0,70.1,70.1,0.0
0334-ZFJSR,Female,41,0,1,0,92123,San Diego,32.808814,-117.134694,25232,0.0,0.0,,,AAJU-HMJLK,55,0,1,Cable,0,1,1,1,1,1,0,One Year,1,Credit Card,35.38,1945.9,13,0,0,0,66.05,3462.1,44.53
0336-KXKFK,Male,43,0,0,0,93453,Santa Margarita,35.303926,-120.256567,2687,0.0,0.0,,,EOID-HJLQW,72,0,1,DSL,1,0,0,1,1,0,1,Two Year,1,Credit Card,0.0,0.0,6,1,1,1,61.2,4390.25,0.0
0361-HJRDX,Female,38,0,0,0,91403,Sherman Oaks,34.147149,-118.463365,22085,0.0,0.0,,,BFBH-OMPIQ,68,0,1,DSL,0,0,0,1,1,1,1,Two Year,0,Credit Card,0.0,0.0,28,1,1,1,64.35,4539.6,0.0
0362-ZBZWJ,Male,46,0,0,0,95686,Thornton,38.157794,-121.520223,1472,1.0,1.0,Attitude,Attitude of service provider,AJHQ-UGVZV,36,0,1,Fiber Optic,1,1,1,0,0,0,0,Month-to-Month,1,Bank Withdrawal,24.66,887.76,22,0,1,1,84.9,3067.2,0.0
0366-NQSHS,Male,42,0,0,0,95932,Colusa,39.273096,-122.050763,7503,,0.0,,,FRFU-HIOLG,2,0,0,None,0,1,0,0,0,0,0,Month-to-Month,0,Credit Card,44.34,88.68,0,0,0,0,19.35,46.35,0.0
0374-AACSZ,Female,63,0,0,0,93534,Lancaster,34.727529,-118.153098,35109,,0.0,,,CKLX-YHHDZ,1,0,1,DSL,0,1,0,0,1,0,0,Month-to-Month,0,Bank Withdrawal,38.33,38.33,24,0,0,0,50.15,50.15,0.0
0376-YMCJC,Male,21,0,0,0,94949,Novato,38.067204,-122.524004,13361,1.0,1.0,Competitor,Competitor offered higher download speeds,GJRN-EGNXG,23,0,1,Cable,1,1,1,1,0,0,0,Month-to-Month,1,Bank Withdrawal,38.69,889.87,69,1,0,1,90.6,1943.2,4.73
0378-TOVMS,Female,20,0,0,0,95385,Vernalis,37.609095,-121.263381,274,1.0,1.0,Competitor,Competitor had better devices,AYBO-DMVWT,3,0,1,Fiber Optic,1,1,0,1,0,0,0,Month-to-Month,0,Bank Withdrawal,10.6,31.8,73,0,1,1,85.8,272.2,0.0
0386-CWRGM,Female,61,0,1,1,90210,Beverly Hills,34.099891,-118.414338,21397,0.0,0.0,,,CFBU-KXHVB,46,9,0,None,0,1,0,0,0,0,0,Two Year,0,Credit Card,47.5,2185.0,0,0,0,0,19.4,967.85,0.0
0394-YONDK,Male,28,0,1,3,92025,Escondido,33.081478,-117.033814,49281,0.0,0.0,,,AKHG-BKCPI,70,0,0,None,0,1,1,0,0,0,0,Two Year,0,Credit Card,1.22,85.4,0,0,0,0,25.15,1790.15,0.0
0397-GZBBC,Male,70,1,1,0,93665,South Dos Palos,36.959731,-120.653519,343,1.0,1.0,Price,Price too high,CRRL-UTCQZ,59,0,1,Fiber Optic,1,1,1,0,0,0,0,Month-to-Month,1,Bank Withdrawal,10.78,636.02,15,1,1,0,93.85,5574.75,8.13
0401-WDBXM,Male,22,0,1,3,95118,San Jose,37.255479,-121.889838,31926,0.0,0.0,,,EQLQ-FIIDR,72,4,1,Fiber Optic,0,1,1,0,1,0,1,Two Year,1,Bank Withdrawal,8.33,599.76,59,1,1,1,105.55,7542.25,0.0
0404-SWRVG,Male,21,0,0,2,90631,La Habra,33.940619,-117.9513,67354,1.0,1.0,Dissatisfaction,Product dissatisfaction,BINK-SFVDC,3,0,1,Fiber Optic,1,1,1,0,0,0,0,Month-to-Month,1,Bank Withdrawal,14.6,43.8,71,0,0,1,74.4,229.55,8.74
0407-BDJKB,Male,59,0,1,0,94114,San Francisco,37.758085,-122.434801,30587,1.0,1.0,Dissatisfaction,Service dissatisfaction,FVKR-PSABX,60,1,1,Fiber Optic,1,1,1,0,0,1,1,Month-to-Month,1,Bank Withdrawal,35.22,2113.2,16,1,0,0,95.75,5742.9,0.0
0412-UCCNP,Male,20,0,0,0,92332,Essex,34.9436,-115.287901,115,0.0,0.0,,,ENLL-VWOIH,55,0,1,DSL,1,1,0,1,1,0,1,Two Year,1,Bank Withdrawal,12.28,675.4,48,0,0,0,59.2,3175.85,0.0
0415-MOSGF,Female,58,0,0,0,95030,Los Gatos,37.222842,-121.988727,13290,1.0,1.0,Attitude,Attitude of support person,CVDZ-EXPHL,1,0,1,DSL,1,1,0,0,0,0,0,Month-to-Month,0,Credit Card,26.53,26.53,30,0,0,0,44.4,44.4,0.0
0422-OHQHQ,Female,23,0,1,0,93722,Fresno,36.78979,-119.929894,60889,0.0,0.0,,,EXNS-UEATN,15,7,0,None,0,1,0,0,0,0,0,One Year,0,Credit Card,34.63,519.45,0,0,0,0,20.55,295.95,0.0
0428-AXXLJ,Male,29,0,0,0,90706,Bellflower,33.887676,-118.127289,72893,0.0,0.0,,,AFKF-DLQEA,25,0,0,None,0,1,0,0,0,0,0,One Year,1,Bank Withdrawal,3.58,89.5,0,0,0,0,19.5,516.3,0.0
0428-IKYCP,Male,56,0,1,0,95370,Sonora,37.982716,-120.343732,25340,0.0,0.0,,,CXMU-LKPFG,22,9,1,Fiber Optic,1,1,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,48.68,1070.96,18,1,0,0,87.0,1850.65,0.0
0440-EKDCF,Male,47,0,1,0,96113,Herlong,40.198234,-120.18089,946,0.0,0.0,,,FRVJ-HHVDM,62,1,1,Cable,1,1,0,1,0,1,1,Two Year,1,Credit Card,33.7,2089.4,15,0,0,0,60.15,3753.2,0.0
0440-QEXBZ,Female,64,0,0,0,93501,Mojave,35.097323,-118.171288,4882,0.0,0.0,,,ENUG-YTBFL,44,0,1,DSL,1,1,1,0,0,0,0,Month-to-Month,1,Credit Card,18.42,810.48,22,0,0,0,50.15,2139.1,0.0
0442-TDYUO,Male,44,0,1,0,94922,Bodega,38.343282,-122.9755,584,0.0,0.0,,,DYYD-ZWRAP,48,4,0,None,0,1,0,0,0,0,0,Two Year,1,Credit Card,33.06,1586.88,0,0,0,0,20.05,1036.0,0.0
0442-ZXKVS,Female,79,1,1,0,95316,Denair,37.524721,-120.757977,5513,0.0,0.0,,,EPVL-FDQBR,54,2,1,Fiber Optic,1,1,1,1,1,1,1,One Year,1,Bank Withdrawal,43.71,2360.34,12,1,1,0,115.6,6431.05,0.0
0458-HEUZG,Female,58,0,0,0,95511,Alderpoint,40.166028,-123.584144,261,0.0,0.0,,,CKIY-CLVEF,13,0,1,Cable,0,0,0,1,0,0,1,Two Year,0,Credit Card,0.0,0.0,13,0,0,0,35.4,450.4,0.0
0459-SPZHJ,Male,19,0,1,0,92843,Garden Grove,33.764018,-117.931507,43491,0.0,0.0,,,CWIK-ENTND,63,1,1,DSL,1,1,1,0,1,1,1,Two Year,0,Credit Card,13.45,847.35,69,1,1,1,83.5,5435.0,0.0
0463-ZSDNT,Male,23,0,0,0,92026,Escondido,33.21846,-117.116916,43436,0.0,0.0,,,DEJD-TRRGW,10,0,1,DSL,0,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,30.3,303.0,73,0,1,1,56.75,503.25,0.0
0471-LVHGK,Male,34,0,1,0,95662,Orangevale,38.689174,-121.218435,32040,1.0,1.0,Competitor,Competitor offered higher download speeds,GJVQ-ANYZA,41,1,1,DSL,1,1,1,0,0,0,1,One Year,1,Bank Withdrawal,15.91,652.31,29,1,1,1,73.0,3001.2,0.0
0481-SUMCB,Female,74,1,0,0,95947,Greenville,40.160386,-120.835428,2064,0.0,0.0,,,GOOW-SKUXF,45,0,1,Fiber Optic,1,1,1,0,0,0,1,One Year,1,Bank Withdrawal,34.12,1535.4,15,1,1,0,102.15,4735.35,0.0
0484-FFVBJ,Male,43,0,0,0,95437,Fort Bragg,39.455555,-123.683979,14417,0.0,0.0,,,BOCE-YWAVJ,32,0,1,DSL,1,1,0,0,0,0,0,One Year,1,Bank Withdrawal,15.52,496.64,12,1,1,1,64.85,2010.95,0.0
0485-ZBSLN,Male,52,0,1,2,92254,Mecca,33.543835,-115.993906,8768,0.0,0.0,,,BLPU-JIKKV,65,4,0,None,0,1,1,0,0,0,0,Two Year,0,Credit Card,36.5,2372.5,0,0,0,0,24.75,1715.1,0.0
0486-HECZI,Male,37,0,1,1,90504,Torrance,33.867257,-118.330794,31678,1.0,1.0,Price,Long distance charges,GGXB-FLRNY,55,0,1,Fiber Optic,1,1,1,0,1,1,0,Month-to-Month,1,Bank Withdrawal,49.06,2698.3,27,1,0,0,96.75,5238.9,0.0
0495-RVCBF,Female,39,0,0,0,95401,Santa Rosa,38.460517,-122.790335,36125,1.0,1.0,Other,Poor expertise of online support,GOZR-QGNIA,1,0,1,Fiber Optic,1,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,33.88,33.88,26,0,1,1,79.7,79.7,0.0
0504-HHAPI,Female,72,1,0,0,95637,Guinda,38.830739,-122.196202,228,1.0,1.0,Other,Don't know,DESD-WFMGP,27,0,1,Fiber Optic,1,1,1,0,0,0,1,Month-to-Month,0,Credit Card,16.94,457.38,11,0,1,0,88.3,2467.75,0.0
0508-SQWPL,Female,32,0,1,3,91941,La Mesa,32.759327,-116.99726,44652,0.0,0.0,,,DYER-FHZJM,57,9,0,None,0,1,0,0,0,0,0,Two Year,1,Bank Withdrawal,26.67,1520.19,0,0,0,0,20.1,1087.7,0.0
0516-WJVXC,Female,21,0,0,0,95818,Sacramento,38.556306,-121.495817,21313,1.0,1.0,Dissatisfaction,Network reliability,EZGJ-PBOYY,5,0,1,DSL,1,1,0,1,1,0,0,Month-to-Month,0,Bank Withdrawal,3.61,18.05,69,0,0,0,54.2,308.25,0.0
0526-SXDJP,Male,36,0,1,0,90201,Bell,33.970343,-118.171368,105285,0.0,0.0,,,BXYZ-NDDKQ,72,7,1,Cable,1,0,0,0,1,1,1,Two Year,0,Bank Withdrawal,0.0,0.0,17,0,0,0,42.1,2962.0,0.0
0531-XBKMM,Male,37,0,0,2,91702,Azusa,34.174493,-117.87068,57775,0.0,0.0,,,FGXM-WJRJR,66,0,1,DSL,1,1,1,1,1,1,0,Two Year,0,Bank Withdrawal,32.12,2119.92,17,0,0,0,65.7,4378.9,0.0
0536-ACXIP,Female,34,0,1,0,95242,Lodi,38.128087,-121.4078,22073,0.0,0.0,,,DTWE-GLZPE,72,9,1,Fiber Optic,1,1,1,0,1,1,1,Two Year,1,Bank Withdrawal,44.2,3182.4,2,1,1,1,109.55,8165.1,0.0
0536-BGFMZ,Female,27,0,1,0,95585,Leggett,39.873371,-123.741474,321,0.0,0.0,,,GNRC-WMTLI,28,3,0,None,0,1,0,0,0,0,0,Month-to-Month,0,Credit Card,42.33,1185.24,0,0,0,0,20.5,563.05,0.0
0541-FITGH,Female,59,0,1,0,95325,Hornitos,37.479926,-120.230424,128,,0.0,,,GHNP-IDKQB,2,6,1,Cable,1,1,0,0,1,0,0,Month-to-Month,1,Mailed Check,48.39,96.78,24,0,1,1,62.15,113.1,0.0
0550-DCXLH,Male,64,0,0,0,92274,Thermal,33.53604,-116.119222,17018,0.0,0.0,,,EJLT-PCQDP,13,0,1,DSL,1,1,0,1,0,1,0,Month-to-Month,0,Mailed Check,40.99,532.87,21,1,1,1,73.35,931.55,49.02
0556-FJEGU,Male,26,0,0,0,94549,Lafayette,37.907777,-122.127161,23996,0.0,0.0,,,ETRK-DXZEJ,58,0,1,DSL,1,1,0,1,0,1,1,Two Year,0,Bank Withdrawal,47.47,2753.26,69,1,0,0,70.1,4048.95,0.0
0557-ASKVU,Female,43,0,1,0,90210,Beverly Hills,34.099891,-118.414338,21397,0.0,0.0,,,AXHE-KTVGM,18,2,1,Cable,1,1,0,1,0,0,1,One Year,1,Credit Card,44.97,809.46,7,0,0,0,54.4,957.1,0.0
0562-HKHML,Male,39,0,1,1,94502,Alameda,37.724817,-122.224363,13996,0.0,0.0,,,AQCV-BEDYN,71,9,0,None,0,1,1,0,0,0,0,Two Year,0,Credit Card,18.99,1348.29,0,0,0,0,23.9,1626.4,0.0
0565-JUPYD,Male,26,0,0,0,94510,Benicia,38.113533,-122.11926,25578,0.0,0.0,,,CVTW-ZPFVW,63,0,1,Fiber Optic,1,1,1,1,1,1,1,One Year,0,Credit Card,21.45,1351.35,85,1,0,0,104.5,6590.8,0.0
0568-ONFPC,Male,34,0,1,1,94112,San Francisco,37.720498,-122.443119,73117,1.0,,Other,Moved,ADHD-XTYYU,5,1,0,None,0,1,1,0,0,0,0,Month-to-Month,1,Bank Withdrawal,40.05,200.25,0,0,0,0,25.9,135.0,0.0
0570-BFQHT,Female,38,0,0,0,96007,Anderson,40.448632,-122.306657,21418,0.0,0.0,,,BJQF-TWCFZ,9,0,1,Fiber Optic,1,1,0,0,0,1,1,Month-to-Month,0,Bank Withdrawal,32.57,293.13,13,0,0,0,80.55,653.9,2.28
0580-PIQHM,Female,21,0,1,1,92503,Riverside,33.890046,-117.455583,71678,0.0,0.0,,,BXNY-EDAOG,41,7,1,Fiber Optic,1,1,1,0,1,1,1,One Year,1,Bank Withdrawal,14.73,603.93,82,0,1,1,101.6,3930.55,0.0
